Host_Arrival_NS,Gateway_Ingress_NS,Latency_US
1764346309421597979,1764346309419034438,2563.54
1764346309423727405,1764346309421411871,2315.53
1764346309425878339,1764346309423350612,2527.73
1764346309427951913,1764346309425749292,2202.62
1764346309430083611,1764346309428911370,1172.24
1764346309432238763,1764346309429674768,2563.99
1764346309434369480,1764346309431855227,2514.25
1764346309436364869,1764346309434233659,2131.21
1764346309438635978,1764346309436158402,2477.58
1764346309440741729,1764346309438902286,1839.44
1764346309442908591,1764346309440381089,2527.5
1764346309444878071,1764346309442787767,2090.3
1764346309446994865,1764346309444739007,2255.86
1764346309449148817,1764346309446704994,2443.82
1764346309451355960,1764346309448935197,2420.76
1764346309453411114,1764346309450932180,2478.93
1764346309455626922,1764346309453294365,2332.56
1764346309457704635,1764346309455255353,2449.28
1764346309459883593,1764346309458902366,981.227
1764346309461959482,1764346309459441294,2518.19
1764346309464140261,1764346309461797480,2342.78
1764346309466290207,1764346309463761217,2528.99
1764346309468362887,1764346309466179145,2183.74
1764346309470514984,1764346309468897782,1617.2
1764346309472630900,1764346309470346088,2284.81
1764346309474705477,1764346309472295828,2409.65
1764346309476761622,1764346309474735752,2025.87
1764346309479063784,1764346309476697491,2366.29
1764346309481268593,1764346309478904196,2364.4
1764346309483193062,1764346309480841437,2351.62
1764346309485474495,1764346309483220120,2254.38
1764346309487428262,1764346309485170359,2257.9
1764346309489640864,1764346309488896112,744.752
1764346309491685797,1764346309489413543,2272.25
1764346309493895327,1764346309491379531,2515.8
1764346309496038764,1764346309493763212,2275.55
1764346309498201729,1764346309495715452,2486.28
1764346309500328123,1764346309498892028,1436.1
1764346309502562484,1764346309499909142,2653.34
1764346309504549780,1764346309502267577,2282.2
1764346309506704613,1764346309504219816,2484.8
1764346309508779063,1764346309506646492,2132.57
1764346309510941195,1764346309508889693,2051.5
1764346309512997960,1764346309510846932,2151.03
1764346309515126819,1764346309512812169,2314.65
1764346309517309850,1764346309514790905,2518.95
1764346309519532165,1764346309518889358,642.807
1764346309521624155,1764346309519159572,2464.58
1764346309523651935,1764346309521331782,2320.15
1764346309525804401,1764346309523315017,2489.38
1764346309527963788,1764346309525729945,2233.84
1764346309530115578,1764346309528886524,1229.05
1764346309532193489,1764346309529714913,2478.58
1764346309534393127,1764346309531847878,2545.25
1764346309536503733,1764346309534241809,2261.92
1764346309538585554,1764346309536189799,2395.76
1764346309540818518,1764346309538886439,1932.08
1764346309542891845,1764346309540382739,2509.11
