Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,-500.0ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-497.1ms,Serial1,18FFD0F4,Data,8,FF 00 00 00 00 00 00 00,4A78,
,-496.8ms,Serial1,1CFF50F4,Data,8,01 30 A3 2D 4A 45 00 00,1B18,
,-496.5ms,Serial1,18FFEFF4,Data,8,00 07 E8 96 00 00 00 00,68CD,
,-495.7ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,-494.7ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-494.4ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,-494.2ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,-494.1ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 09 C1,503E,
,-493.7ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,-493.4ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,-490.0ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-487.1ms,Serial1,18FF38F4,Data,8,00 60 4A 45 07 92 00 00,6CFE,
,-485.0ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-482.6ms,Serial1,000C7FD3,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,-480.0ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-476.4ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,-475.0ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-474.4ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,-474.2ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,-474.1ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 0A C2,52FF,
,-473.7ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,-473.4ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,-470.0ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-465.0ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-464.5ms,Serial1,10FFF4D4,Data,8,02 02 00 00 00 00 00 00,1E40,
,-462.4ms,Serial1,000C7FD3,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,-462.3ms,Serial1,18FFF5D4,Data,8,00 FF 00 00 FF FF FF 00,025A,
,-460.0ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-456.4ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,-455.0ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-454.4ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,-454.2ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,-454.1ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 0B C3,5340,
,-453.1ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,-452.7ms,Serial1,000C7F14,Data,8,01 00 00 00 00 00 00 00,0AAD,
,-450.7ms,Serial1,000C00E8,Data,8,00 8B 00 5C 43 00 00 56,4C24,
,-450.0ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-445.0ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-442.6ms,Serial1,1CFFD4F5,Data,8,00 5A 00 00 00 00 00 00,09DD,
,-442.3ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,-442.3ms,Serial1,1CFED4F5,Data,8,00 00 00 00 FF 00 00 00,3DC0,
,-441.6ms,Serial1,000C7F94,Data,8,30 00 00 00 00 00 00 00,4B36,
,-440.6ms,Serial1,18FF1EEF,Data,8,08 00 00 00 00 00 00 00,4AA6,
,-440.0ms,Serial1,000C7F28,Data,8,40 02 41 02 40 02 00 00,3201,
,-436.4ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,-435.0ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-434.5ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,-434.2ms,Serial1,000C7EA8,Data,8,80 00 80 00 80 00 80 00,3A6D,
,-434.2ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 0C C4,577D,
,-433.1ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,-432.8ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,-430.0ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-425.0ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
