Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,-48.03ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-43.00ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-40.72ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,-40.43ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,-39.53ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,-39.23ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,-38.55ms,Serial1,18FFD0EF,Data,8,00 00 00 00 00 00 00 00,1309,
,-38.02ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-37.73ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,-37.45ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,-37.16ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 0A C2,52FF,
,-36.88ms,Serial1,18FF95EF,Data,8,00 00 00 00 00 00 00 00,64F8,
,-36.55ms,Serial1,10FF38EF,Data,8,00 02 00 00 00 00 00 00,5531,
,-34.28ms,Serial1,10FFD438,Data,8,02 02 02 02 02 02 02 00,67FE,
,-33.01ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-28.02ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-23.01ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-22.72ms,Serial1,1CFFD4F5,Data,8,00 5A 00 00 00 00 00 00,09DD,
,-20.06ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,-19.76ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,-19.47ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,-19.17ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,-18.02ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-17.73ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,-17.45ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,-17.16ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 0B C3,5340,
,-14.04ms,Serial1,18FFF5D4,Data,8,00 FF 00 00 FF FF FF 00,025A,
,-13.75ms,Serial1,1801D08F,Data,8,00 8B 00 57 43 00 00 56,08A1,
,-13.01ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-8.024ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
