Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,5.398ms,Serial1,10FF38EF,Data,8,00 02 00 00 00 00 00 00,5531,
,5.956ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,6.246ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,6.528ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,6.817ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 0B C3,5340,
,10.97ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,11.87ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,15.96ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,19.99ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,20.29ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,20.58ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,20.99ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,22.85ms,Serial1,18FFE5F4,Data,8,16 00 00 00 00 00 00 00,49D5,
,23.15ms,Serial1,18FF28F4,Data,8,00 01 05 D3 0C 80 60 00,7410,
,23.44ms,Serial1,10FFD4F4,Data,8,00 60 05 D3 00 00 00 00,55AC,
