Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,-100.0ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-95.02ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-90.01ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-88.27ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,-87.97ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,-86.27ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,-85.02ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-84.73ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,-84.44ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,-84.16ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 09 C1,503E,
,-83.87ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,-80.01ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-77.66ms,Serial1,18FFF5D4,Data,8,00 FF 00 00 FF FF FF 00,025A,
,-75.02ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-70.00ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-68.27ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,-67.98ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,-66.25ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,-65.97ms,Serial1,1CFFD4F5,Data,8,00 5A 00 00 00 00 00 00,09DD,
,-65.02ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-64.73ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,-64.44ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,-64.16ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 0A C2,52FF,
,-63.87ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,-60.01ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-55.02ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-50.01ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-48.27ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,-47.97ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
