CAN_ID,Priority,TX_Ingress_NS,RX_Egress_NS,E2E_Latency_US
0x18ff9528,2,1785199187570820469,1785199187571147264,326
0x18ffefa7,2,1785199187572385107,1785199187572753240,368
0x1f2,1,1785199187572549588,1785199187572757944,208
0x18fd50a7,2,1785199187572813734,1785199187573136350,322
0x18ff28a7,2,1785199187573177510,1785199187573508238,330
0x18ff2895,2,1785199187574342059,1785199187574636493,294
0xc7f14,2,1785199187574806278,1785199187575126676,320
0x18fe50a7,2,1785199187577570410,1785199187577893648,323
0x18ffefa7,2,1785199187582635009,1785199187582907890,272
0x18ff28d0,2,1785199187583700391,1785199187584001627,301
0x30c,1,1785199187584564682,1785199187584898124,333
0x18ffa7ef,2,1785199187585229437,1785199187585499122,269
0x18fe50a7,2,1785199187587894736,1785199187588251983,357
0x18ff9528,2,1785199187591659251,1785199187592016932,357
0x18ffefa7,2,1785199187593223389,1785199187593509205,285
0x1f2,1,1785199187593387888,1785199187593657945,270
0x18fd50a7,2,1785199187593652146,1785199187594004648,352
0x18ff28a7,2,1785199187594016422,1785199187594293350,276
0x18ff2895,2,1785199187595180581,1785199187595498994,318
0x18fe2895,2,1785199187595545357,1785199187595879512,334
0x18fe50a7,2,1785199187598410599,1785199187598761390,350
0x18ffe5f4,2,1785199187601374729,1785199187601642788,268
0x18ff28f4,2,1785199187601739134,1785199187602017286,278
0x18ffefa7,2,1785199187603603975,1785199187603891187,287
0x18ffa7ef,2,1785199187606068886,1785199187606398419,329
0x18fe50a7,2,1785199187608732852,1785199187609019744,286
0x18ffeff4,2,1785199187611697500,1785199187612018955,321
0x18ff9528,2,1785199187612562217,1785199187612882600,320
0x18ffefa7,2,1785199187614127023,1785199187614414799,287
0x1f2,1,1785199187614291318,1785199187614641539,350
0x18fd50a7,2,1785199187614555557,1785199187614901390,345
0x18ff28a7,2,1785199187614919574,1785199187615275129,355
0xc7f94,2,1785199187616383769,1785199187616661235,277
0xc7f14,2,1785199187616401157,1785199187616665902,264
0x18fe50a7,2,1785199187619258659,1785199187619543929,285
0x18ffefa7,2,1785199187624323628,1785199187624641819,318
0x18ffa7ef,2,1785199187626788243,1785199187627149495,361
0x18fe50a7,2,1785199187629452634,1785199187629754727,302
0x18ff9528,2,1785199187633317037,1785199187633634362,317
0x18ffefa7,2,1785199187634781380,1785199187635131782,350
0x0,0,1785199187634945490,1785199187635278152,332
0x18fd50a7,2,1785199187635209933,1785199187635501633,291
0x18ff28a7,2,1785199187635573523,1785199187635881724,308
0x18ff2895,2,1785199187636137853,1785199187636501315,363
0x18fe2895,2,1785199187636502036,1785199187636775647,273
0x18fe50a7,2,1785199187639966571,1785199187640263375,296
0x18ffefa7,2,1785199187645031078,1785199187645392876,361
0x1cff50d4,2,1785199187645495427,1785199187645767523,272
0x18ffa7ef,2,1785199187647560377,1785199187647899256,338
0x18fff5d4,2,1785199187647825153,1785199187648129533,304
0x18fe50a7,2,1785199187650289472,1785199187650637858,348
0x18ff9528,2,1785199187654054986,1785199187654385345,330
0x18ffefa7,2,1785199187655619199,1785199187655885617,266
0x0,0,1785199187655783494,1785199187656145783,362
0x18fd50a7,2,1785199187656048548,1785199187656403412,354
0x18ff28a7,2,1785199187656412861,1785199187656756077,343
0x18ff2895,2,1785199187657677113,1785199187658018351,341
0x18fe2895,2,1785199187657941241,1785199187658276720,335
0x1801d08f,2,1785199187660005525,1785199187660294843,289
0x18fe50a7,2,1785199187660870260,1785199187661160377,290
0x18ffefa7,2,1785199187665934896,1785199187666259803,324
0x18ffa7ef,2,1785199187668399419,1785199187668756776,357
0x1cffd4f5,2,1785199187669663781,1785199187670007402,343
0x18ff28ef,2,1785199187669680596,1785199187670011753,331
0xc7f8f,2,1785199187670538276,1785199187670899917,361
0x18fe50a7,2,1785199187671203031,1785199187671504174,301
0x18ff9528,2,1785199187675267581,1785199187675540642,273
0x18ffefa7,2,1785199187676532370,1785199187676897507,365
0x1f2,1,1785199187676696646,1785199187676901933,205
0x18fd50a7,2,1785199187676961145,1785199187677271469,310
0x18ff28a7,2,1785199187677325124,1785199187677645597,320
0x18ff2895,2,1785199187678615135,1785199187678883037,267
0x18fe2895,2,1785199187678887800,1785199187679172166,284
0x18fe50a7,2,1785199187681753412,1785199187682027674,274
0x18ffefa7,2,1785199187686819900,1785199187687156675,336
0x30c,1,1785199187688484298,1785199187688769503,285
0x18ffa7ef,2,1785199187689348941,1785199187689636852,287
0x18fe50a7,2,1785199187692016869,1785199187692288361,271
0x18ff9528,2,1785199187695783032,1785199187696149088,366
0xc7ff7,2,1785199187697347781,1785199187697646805,299
0x1f2,1,1785199187697712779,1785199187698024489,311
0x18fd50a7,2,1785199187698078351,1785199187698398525,320
0x18ff28a7,2,1785199187698095610,1785199187698402747,307
0x18ff2895,2,1785199187699253474,1785199187699516891,263
0x18fe2895,2,1785199187699617638,1785199187699897427,279
0x18fe50a7,2,1785199187702482862,1785199187702758287,275
0x18ff28f4,2,1785199187705447233,1785199187705758462,311
0x10ffd4f4,2,1785199187705812027,1785199187706153628,341
0x18ffefa7,2,1785199187707690756,1785199187708027640,336
0x18ffa7ef,2,1785199187710161797,1785199187710529686,367
0x18fe50a7,2,1785199187712827577,1785199187713156640,329
0x18ffeff4,2,1785199187715807152,1785199187716159315,352
0x18ff9528,2,1785199187716977274,1785199187717277459,300
0xc7ff7,2,1785199187718246656,1785199187718516770,270
0x1f2,1,1785199187718611691,1785199187718892657,280
0x18fd50a7,2,1785199187718976262,1785199187719268674,292
0x18ff28a7,2,1785199187718993077,1785199187719272915,279
0x18ff2895,2,1785199187720151126,1785199187720420430,269
0x18fe2895,2,1785199187720515364,1785199187720795651,280
0xc7f28,2,1785199187723379921,1785199187723649752,269
0x18ffefa7,2,1785199187728444150,1785199187728759586,315
